key_size,public_exponent,modulus_size,p_size,q_size,generation_time
2048,65537,2048,1024,1024,-1.1920928955078125e-06
2048,65537,2048,1024,1024,-9.5367431640625e-07
2048,65537,2048,1024,1024,-7.152557373046875e-07
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,-1.1920928955078125e-06
2048,65537,2048,1024,1024,-9.5367431640625e-07
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,-9.5367431640625e-07
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,-1.1920928955078125e-06
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,-1.1920928955078125e-06
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,-1.1920928955078125e-06
2048,65537,2048,1024,1024,-9.5367431640625e-07
2048,65537,2048,1024,1024,-1.1920928955078125e-06
2048,65537,2048,1024,1024,-9.5367431640625e-07
2048,65537,2048,1024,1024,-7.152557373046875e-07
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,-9.5367431640625e-07
2048,65537,2048,1024,1024,-1.1920928955078125e-06
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,-9.5367431640625e-07
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,-1.1920928955078125e-06
2048,65537,2048,1024,1024,-9.5367431640625e-07
2048,65537,2048,1024,1024,-9.5367431640625e-07
2048,65537,2048,1024,1024,-7.152557373046875e-07
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,-1.1920928955078125e-06
2048,65537,2048,1024,1024,-1.1920928955078125e-06
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,-9.5367431640625e-07
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,-1.1920928955078125e-06
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,-9.5367431640625e-07
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,-9.5367431640625e-07
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,-9.5367431640625e-07
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,-1.1920928955078125e-06
2048,65537,2048,1024,1024,-9.5367431640625e-07
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,-1.1920928955078125e-06
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,-9.5367431640625e-07
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,-1.1920928955078125e-06
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,-7.152557373046875e-07
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,-9.5367431640625e-07
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,0.0
2048,65537,2048,1024,1024,-9.5367431640625e-07
